Malaysia,"Brunei,Indonesia,Thailand"
Maldives,
Mali,"Algeria,Burkina Faso,Cote d'Ivoire,Guinea,Mauritania,Niger,Senegal"
Malta,
Mauritania,"Algeria,Mali,Senegal,Western Sahara"
Mauritius,
Mexico,"Belize,Guatemala,United States"
Moldova,"Romania,Ukraine"
Monaco,France
Mongolia,"China,Russia"
Montenegro,"Albania,Bosnia and Herzegovina,Croatia,Kosovo,Serbia"
Morocco,"Algeria,Western Sahara,Spain"
Mozambique,"Eswatini,Malawi,South Africa,Tanzania,Zambia,Zimbabwe"
Myanmar,"Bangladesh,China,India,Laos,Thailand"
Namibia,"Angola,Botswana,South Africa,Zambia"
Nepal,"China,India"
Netherlands,"Belgium,Germany"
New Zealand,
Nicaragua,"Costa Rica,Honduras"
Niger,"Algeria,Benin,Burkina Faso,Chad,Libya,Mali,Nigeria"
Nigeria,"Benin,Cameroon,Chad,Niger"
North Macedonia,"Albania,Bulgaria,Greece,Kosovo,Serbia"
Norway,"Finland,Sweden,Russia"
Oman,"Saudi Arabia,United Arab Emirates,Yemen"
Pakistan,"Afghanistan,India,Iran,China"
Palestine,"Egypt,Israel,Jordan"
Panama,"Colombia,Costa Rica"
Papua New Guinea,Indonesia
Paraguay,"Argentina,Bolivia,Brazil"
Peru,"Bolivia,Brazil,Chile,Colombia,Ecuador"
Philippines,
Poland,"Belarus,Czechia,Germany,Lithuania,Russia,Slovakia,Ukraine"
Portugal,Spain
Qatar,Saudi Arabia
Romania,"Bulgaria,Hungary,Moldova,Serbia,Ukraine"
Russia,"Azerbaijan,Belarus,China,Estonia,Finland,Georgia,Kazakhstan,North Korea,Latvia,Lithuania,Mongolia,Norway,Poland,Ukraine,South Ossetia,Abkhazia"
Rwanda,"Burundi,Democratic Republic of Congo,Tanzania,Uganda"
Saint Lucia,
San Marino,Italy
Sao Tome and Principe,
Saudi Arabia,"Iraq,Jordan,Kuwait,Oman,Qatar,United Arab Emirates,Yemen"
Senegal,"Gambia,Guinea,Guinea-Bissau,Mali,Mauritania"
Serbia,"Bosnia and Herzegovina,Bulgaria,Croatia,Hungary,Kosovo,Montenegro,North Macedonia,Romania"
Sierra Leone,"Guinea,Liberia"
Singapore,
Slovakia,"Austria,Czech Republic,Hungary,Poland,Ukraine"
Slovenia,"Austria,Croatia,Italy,Hungary"
Somalia,"Djibouti,Ethiopia,Kenya"
South Africa,"Botswana,Eswatini,Lesotho,Mozambique,Namibia,Zimbabwe"
South Korea,North Korea
South Sudan,"Central African Republic,Democratic Republic of Congo,Ethiopia,Kenya,Sudan,Uganda"
Spain,"Andorra,France,Portugal,Morocco"
Sri Lanka,
Sudan,"Central African Republic,Chad,Egypt,Eritrea,Ethiopia,Libya,South Sudan"
Suriname,"Brazil,French Guiana,Guyana"
Sweden,"Finland,Norway"
Switzerland,"Austria,France,Italy,Liechtenstein,Germany"
Syria,"Iraq,Israel,Jordan,Lebanon,Turkey"
Taiwan,
Tajikistan,"Afghanistan,China,Kyrgystan,Uzbekistan"
Thailand,"Cambodia,Laos,Malaysia,Myanmar"
Togo,"Benin,Burkina Faso,Ghana"
Trinidad and Tobago,
Tunisia,"Algeria,Libya"
Turkey,"Armenia,Azerbaijan,Bulgaria,Georgia,Greece,Iran,Iraq,Syria"
Uganda,"Democratic Republic of Congo,Kenya,Rwanda,South Sudan,Tanzania"
Ukraine,"Belarus,Hungary,Moldova,Poland,Romania,Russia,Slovakia"
United Arab Emirates,"Oman,Saudi Arabia"
United Kingdom,Ireland
United States,"Canada,Mexico"
Uruguay,"Argentina,Brazil"
Uzbekistan,"Afghanistan,Kazakhstan,Kyrgystan,Tajikistan,Turkmenistan"
Venezuela,"Brazil,Colombia,Guyana"
Vietnam,"Cambodia,China,Laos"
Yemen,"Oman,Saudi Arabia"
Zambia,"Angola,Botswana,Democratic Republic of Congo,Malawi,Mozambique,Namibia,Tanzania,Zimbabwe"
Zimbabwe,"Botswana,Mozambique,South Africa,Zambia"
